timestamp,VWC,temp_soil,temp_room,temp_soil_shifted_1,temp_soil_shifted_2,temp_soil_shifted_3,temp_soil_shifted_4,temp_soil_shifted_5,temp_soil_shifted_6,temp_soil_predict
2017/11/22 11:20,0.367,21.9,20.94,21.8,21.9,21.9,21.8,21.9,21.9,21.7922
2017/11/22 11:25,0.367,21.9,21.01,21.9,21.8,21.9,21.9,21.8,21.9,21.9012
2017/11/22 11:30,0.367,21.9,21.08,21.9,21.9,21.8,21.9,21.9,21.8,21.9022
2017/11/22 11:35,0.367,21.9,21.13,21.9,21.9,21.9,21.8,21.9,21.9,21.898
2017/11/22 11:40,0.367,21.9,21.17,21.9,21.9,21.9,21.9,21.8,21.9,21.9026
2017/11/22 11:45,0.367,21.9,21.17,21.9,21.9,21.9,21.9,21.9,21.8,21.903
2017/11/22 11:50,0.367,21.9,21.1,21.9,21.9,21.9,21.9,21.9,21.9,21.8993
2017/11/22 11:55,0.367,21.9,21.05,21.9,21.9,21.9,21.9,21.9,21.9,21.8986
2017/11/22 12:00,0.366,21.9,21.03,21.9,21.9,21.9,21.9,21.9,21.9,21.8983
2017/11/22 12:05,0.366,21.9,20.89,21.9,21.9,21.9,21.9,21.9,21.9,21.8965
2017/11/22 12:10,0.366,21.9,20.7,21.9,21.9,21.9,21.9,21.9,21.9,21.894
2017/11/22 12:15,0.366,21.9,20.51,21.9,21.9,21.9,21.9,21.9,21.9,21.8915
2017/11/22 12:20,0.366,21.8,20.34,21.9,21.9,21.9,21.9,21.9,21.9,21.8893
2017/11/22 12:25,0.366,21.8,20.22,21.8,21.9,21.9,21.9,21.9,21.9,21.7844
2017/11/22 12:30,0.366,21.8,20.15,21.8,21.8,21.9,21.9,21.9,21.9,21.7842
2017/11/22 12:35,0.366,21.8,20.13,21.8,21.8,21.8,21.9,21.9,21.9,21.7843
2017/11/22 12:40,0.366,21.7,20.1,21.8,21.8,21.8,21.8,21.9,21.9,21.7823
2017/11/22 12:45,0.366,21.7,20.1,21.7,21.8,21.8,21.8,21.8,21.9,21.6814
2017/11/22 12:50,0.366,21.7,20.05,21.7,21.7,21.8,21.8,21.8,21.8,21.6843
2017/11/22 12:55,0.366,21.7,20.03,21.7,21.7,21.7,21.8,21.8,21.8,21.6844
2017/11/22 13:00,0.366,21.7,19.96,21.7,21.7,21.7,21.7,21.8,21.8,21.6819
2017/11/22 13:05,0.366,21.7,19.84,21.7,21.7,21.7,21.7,21.7,21.8,21.6827
2017/11/22 13:10,0.366,21.7,19.77,21.7,21.7,21.7,21.7,21.7,21.7,21.6846
2017/11/22 13:15,0.366,21.7,19.72,21.7,21.7,21.7,21.7,21.7,21.7,21.6839
2017/11/22 13:20,0.366,21.7,19.63,21.7,21.7,21.7,21.7,21.7,21.7,21.6827
2017/11/22 13:25,0.365,21.7,19.53,21.7,21.7,21.7,21.7,21.7,21.7,21.6814
